claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,fraud,claim_year,claim_day,latitude,longitude,unemp_rate,claim_day_monday,claim_day_saturday,claim_day_sunday,claim_day_thursday,claim_day_tuesday,claim_day_wednesday,accident_site_local,accident_site_parking_lot,channel_online,channel_phone,vehicle_category_large,vehicle_category_medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_month_august,claim_month_december,claim_month_february,claim_month_january,claim_month_july,claim_month_june,claim_month_march,claim_month_may,claim_month_november,claim_month_october,claim_month_september,state_co,state_ia,state_pa,state_va
16,53.0,F,1.0,76,39699.0,1,0,Own,15057,5/14/2016,0,0.0,19,0,8201.183031999999,6.0,24156.55616,14259.725869999998,0,2016,14,40.37,-80.23,5.4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,59.0,F,1.0,93,40753.0,1,1,Own,50033,2/12/2015,0,1.0,8,1,6051.751915,3.0,7697.895045,6736.245994,0,2015,12,41.36,-93.79,3.9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,25.0,M,1.0,75,32194.0,1,0,Rent,80003,7/11/2015,1,0.0,99,0,4225.808816,5.0,18676.987530000002,5011.824995,0,2015,11,39.83,-105.06,3.8,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,39.0,F,0.0,35,36635.0,0,1,Rent,15035,4/20/2015,0,0.0,98,1,4650.054155,6.0,17917.04586,13752.12455,1,2015,20,40.38,-79.81,5.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,51.0,M,0.0,75,39322.0,0,1,Own,85023,6/30/2015,0,0.0,12,1,6671.129734,5.0,56012.23142999999,15393.233119999999,0,2015,30,33.63,-112.09,6.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,47.0,M,1.0,87,38516.0,0,0,Rent,15020,8/5/2015,0,0.0,57,0,6521.146712,4.0,36074.484769999995,14712.630630000001,1,2015,5,40.23,-79.95,5.2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,26.0,M,1.0,83,32592.0,1,0,Rent,20135,11/11/2015,0,0.0,81,1,8782.034073,7.0,28340.54126,25538.26508,0,2015,11,39.11,-77.83,4.1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,46.0,M,0.0,81,38293.0,1,1,Rent,20101,2/19/2016,0,0.0,50,1,4559.869785,3.0,16442.55536,25421.81041,1,2016,19,38.92,-77.35,4.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,43.0,F,1.0,96,37609.0,0,1,Own,15056,4/23/2016,2,0.0,71,1,6835.285806999999,5.0,14937.5385,20063.32729,1,2016,23,40.56,-80.21,5.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,39.0,M,0.0,91,36639.0,1,0,Rent,80003,11/3/2015,0,1.0,57,1,6466.409413,4.0,20088.60345,26804.02332,0,2015,3,39.83,-105.06,3.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,40.0,M,0.0,76,36876.0,0,0,Rent,15024,10/25/2015,0,0.0,28,0,1538.279552,6.0,26225.83063,21347.75102,0,2015,25,40.54,-79.8,5.2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,70.0,M,1.0,90,42499.0,1,0,Rent,80101,4/24/2015,0,1.0,59,0,3411.9432450000004,8.0,22996.25703,24842.25389,0,2015,24,39.47,-103.95,4.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,24.0,M,0.0,80,31796.0,0,1,Rent,50038,4/14/2016,2,0.0,34,1,5037.605111,7.0,9224.079753,54331.0653,1,2016,14,41.53,-93.9,3.6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,32.0,M,1.0,82,34674.0,1,1,Rent,85040,3/27/2016,0,1.0,1,1,9507.865265999999,2.0,19493.52905,8507.918045,0,2016,27,33.4,-112.02,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,50.0,M,0.0,85,39119.0,1,0,Rent,80110,8/3/2016,0,1.0,2,1,1644.576186,8.0,38604.018169999996,18023.00599,0,2016,3,39.64,-104.99,3.3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,43.66838975043077,M,1.0,60,52988.0,1,1,Rent,85020,12/26/2015,0,0.0,85,1,5782.266662,5.0,21503.302069999998,21437.33521,0,2015,26,33.57,-112.05,5.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,44.0,M,1.0,85,37855.0,1,1,Own,20141,5/31/2015,0,0.0,27,1,4308.093194,2.0,12562.74575,22076.24297,0,2015,31,39.13,-77.77,4.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40,37.0,F,1.0,65,36117.0,1,1,Own,15001,8/19/2016,0,0.0,17,0,5854.332086,6.0,20679.530609999998,16762.27489,0,2016,19,40.61,-80.25,5.5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,52.0,F,1.0,68,39512.0,1,1,Rent,20111,1/9/2016,0,1.0,50,0,5801.718463,3.0,32411.116680000003,43143.736730000004,0,2016,9,38.75,-77.43,4.1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,56.0,M,1.0,67,40259.0,1,0,Rent,80021,11/4/2015,0,0.0,79,0,6035.780111,2.0,23285.862569999998,51321.032380000004,0,2015,4,39.89,-105.11,3.5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
49,32.0,M,0.0,89,34654.0,1,1,Own,80030,2/13/2015,0,0.0,0,1,7432.5432519999995,6.0,23283.72654,18770.23633,0,2015,13,39.83,-105.04,4.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,40.0,F,1.0,84,36893.0,1,1,Own,50054,5/12/2015,0,0.0,31,1,7732.19714,3.0,10546.61343,13309.89239,0,2015,12,41.67,-93.24,3.8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
53,52.0,F,0.0,84,39496.0,0,1,Own,80013,4/23/2016,0,0.0,60,0,5919.395308,8.0,40471.74613,24617.92855,0,2016,23,39.66,-104.77,3.4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,50.0,M,1.0,90,39129.0,0,0,Own,85028,8/15/2015,5,0.0,54,1,4491.348462,3.0,11816.91717,27109.69521,0,2015,15,33.56,-112.0,6.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,58.0,F,1.0,84,40599.0,1,0,Own,85064,8/13/2015,0,1.0,77,1,2513.927533,6.0,36977.978760000005,13998.38666,0,2015,13,33.5,-112.03,6.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,62.0,M,1.0,82,41269.0,1,0,Own,80015,9/25/2016,1,0.0,78,1,2067.590252,5.0,29135.11188,7881.247872,0,2016,25,39.63,-104.78,3.2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
59,47.0,M,0.0,69,38508.0,0,0,Own,20143,9/2/2016,1,0.0,0,1,4587.728674,5.0,14550.28805,35403.81217,1,2016,2,38.84,-77.56,4.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,22.0,M,0.0,49,30902.0,1,0,Rent,80021,4/16/2016,1,0.0,68,1,7982.336026999999,5.0,14373.21383,9739.231253,1,2016,16,39.89,-105.11,3.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,47.0,M,1.0,79,38483.0,0,0,Rent,50036,4/20/2016,0,0.0,62,0,5935.9705460000005,3.0,16908.14613,18564.19126,1,2016,20,42.05,-93.87,3.6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,26.0,M,0.0,93,32591.0,1,1,Rent,50047,2/9/2016,0,1.0,67,1,7661.866723,7.0,14372.27717,39002.8018,1,2016,9,41.51,-93.48,3.6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,38.0,M,0.0,63,36387.0,1,1,Own,15053,4/7/2016,0,0.0,83,1,1875.688845,3.0,31261.40239,12837.764879999999,1,2016,7,40.38,-80.36,5.4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,63.0,M,1.0,93,41428.0,1,1,Own,85067,8/2/2015,0,0.0,84,1,3992.977667,4.0,7458.0891090000005,12713.39417,0,2015,2,33.5,-112.08,6.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,35.0,M,1.0,63,35551.0,1,0,Rent,50047,11/13/2015,3,0.0,97,1,5242.562288,4.0,40839.12416,20542.75429,0,2015,13,41.51,-93.48,3.7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
69,41.0,F,1.0,81,37119.0,1,1,Own,85031,9/10/2016,0,0.0,98,0,11074.49993,5.0,41916.15961,60022.57867,0,2016,10,33.49,-112.16,5.2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,30.0,M,1.0,72,34025.0,0,1,Rent,50047,7/11/2015,0,0.0,49,0,5900.507621,10.0,25069.80315,6791.073297,1,2015,11,41.51,-93.48,3.7,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
73,50.0,F,1.0,90,39117.0,1,1,Rent,85079,12/7/2016,1,0.0,0,0,5869.3417,4.0,24211.61531,28250.69734,0,2016,7,33.5,-112.11,5.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,35.0,F,0.0,86,35561.0,1,1,Own,20132,3/24/2016,0,1.0,64,1,4391.006072,2.0,16064.606730000001,6696.948989,0,2016,24,39.13,-77.71,4.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
76,42.0,F,1.0,37,37368.0,1,1,Own,15009,4/24/2015,0,0.0,97,1,2286.855815,9.0,38782.52542,17732.65318,0,2015,24,40.69,-80.3,5.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,69.0,F,1.0,68,42336.0,1,1,Rent,80024,9/12/2016,1,1.0,37,1,2555.179947,1.0,21442.80756,25705.84281,0,2016,12,39.84,-104.92,3.2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
78,28.0,M,0.0,85,33327.0,0,1,Own,15021,8/7/2015,0,0.0,36,1,1965.7530809999998,10.0,24573.68055,13930.50033,0,2015,7,40.38,-80.39,5.2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,30.0,F,1.0,79,33993.0,0,1,Rent,20165,8/12/2016,0,0.0,1,1,2220.849033,5.0,25063.75455,26149.48866,0,2016,12,39.06,-77.39,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,69.0,M,0.0,70,42352.0,0,0,Rent,15060,1/1/2016,0,0.0,99,0,1912.5222399999998,9.0,26679.72093,5636.813285,0,2016,1,40.37,-80.29,5.3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
83,41.0,M,0.0,33,37140.0,1,1,Own,15018,8/4/2016,5,0.0,5,1,5233.961701,2.0,27440.88412,26447.089659999998,0,2016,4,40.27,-79.8,5.5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,24.0,F,1.0,80,31767.0,1,1,Rent,80010,12/18/2016,2,0.0,66,1,4703.710172,6.0,33478.126169999996,3021.407359,1,2016,18,39.74,-104.86,2.9,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
89,72.0,F,1.0,82,42785.0,0,1,Rent,85029,1/27/2016,0,1.0,42,1,8682.020795999999,3.0,20033.74414,27290.016539999997,0,2016,27,33.59,-112.1,5.7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,48.0,M,1.0,53,38712.0,0,1,Rent,20165,2/1/2015,0,0.0,83,1,2711.993143,6.0,26247.034490000002,24320.41749,0,2015,1,39.06,-77.39,4.8,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,31.0,M,0.0,78,34326.0,1,1,Own,50021,12/26/2015,0,0.0,76,1,1986.4370379999998,5.0,39131.15578,44658.08904,0,2015,26,41.72,-93.6,3.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,31.0,M,1.0,83,34347.0,1,0,Own,15010,3/31/2015,0,0.0,11,0,7431.434426000001,4.0,13544.558,36667.84401,0,2015,31,40.76,-80.32,5.4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,48.0,M,1.0,51,38701.0,1,1,Rent,15010,2/14/2016,0,0.0,83,0,7283.061425,3.0,10125.75246,30684.7314,0,2016,14,40.76,-80.32,5.3,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
94,39.0,M,1.0,54,36644.0,1,1,Own,85074,2/2/2015,0,0.0,40,1,4165.6795950000005,5.0,10621.073059999999,23843.99708,0,2015,2,33.45,-112.09,6.3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,78.0,M,1.0,61,43577.0,1,1,Rent,15010,10/8/2016,0,0.0,25,1,3908.3009909999996,6.0,28643.049730000002,31554.73932,1,2016,8,40.76,-80.32,5.5,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
96,38.0,M,1.0,76,36374.0,1,0,Own,80020,8/23/2015,4,1.0,40,1,3594.5218659999996,3.0,25162.9564,34363.3759,0,2015,23,39.94,-105.06,3.7,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,58.0,F,1.0,56,40616.0,1,1,Rent,85028,1/6/2015,0,1.0,99,0,1346.603764,3.0,10154.585309999999,24013.54195,1,2015,6,33.56,-112.0,6.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,59.0,F,1.0,79,40777.0,1,1,Rent,50007,5/14/2015,2,1.0,93,1,8969.794924,7.0,32607.403469999997,20880.751790000002,0,2015,14,41.81,-93.61,3.8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
100,33.0,F,1.0,31,34958.0,1,0,Rent,20130,3/30/2015,3,0.0,48,1,9148.765275,3.0,13118.67565,15129.074880000002,0,2015,30,39.0,-77.95,4.8,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
102,31.0,M,0.0,78,34341.0,1,0,Own,80106,5/12/2016,0,0.0,93,0,3244.330615,6.0,20936.84243,24656.22334,0,2016,12,39.22,-104.53,3.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
104,31.0,F,0.0,94,34327.0,0,0,Rent,85038,10/2/2015,2,0.0,2,1,1899.797609,5.0,21262.31249,31277.050330000002,0,2015,2,33.46,-111.98,5.8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,71.0,F,1.0,65,42609.0,0,0,Own,85054,1/8/2015,0,0.0,77,0,6133.930265999999,7.0,10728.609690000001,10901.52408,0,2015,8,33.67,-111.95,6.4,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,22.0,F,1.0,83,30897.0,1,1,Own,50049,1/16/2016,0,0.0,0,1,5801.370911,10.0,21554.60851,10803.11824,0,2016,16,41.01,-93.3,3.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110,66.0,F,0.0,87,41890.0,1,0,Own,85060,3/2/2015,0,1.0,0,1,2687.473644,5.0,13536.82481,17400.79619,0,2015,2,33.5,-111.98,6.3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,43.66838975043077,M,1.0,60,48905.0,1,1,Own,15014,8/26/2015,0,0.0,22,1,5922.919482,7.0,7626.9469420000005,24659.77971,0,2015,26,40.61,-79.74,5.2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,41.0,M,1.0,81,37141.0,0,1,Own,50035,12/18/2016,0,0.0,4,1,3844.360693,2.0,16156.218719999999,6556.531900999999,0,2016,18,41.68,-93.46,3.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
115,32.0,M,1.0,97,34675.0,1,1,Own,50047,1/26/2016,0,1.0,69,1,2474.503079,5.0,16313.57841,15686.61188,0,2016,26,41.51,-93.48,3.6,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
116,55.0,M,1.0,81,40081.0,1,1,Rent,15003,2/27/2016,1,1.0,7,1,2022.314343,4.0,13147.36133,20520.1333,0,2016,27,40.59,-80.22,5.3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
119,33.0,F,1.0,76,34958.0,1,0,Rent,85072,12/18/2016,0,0.0,61,0,5364.163592,4.0,13479.44598,14084.99804,0,2016,18,33.45,-112.01,5.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,55.0,M,1.0,81,40069.0,1,1,Rent,20129,7/15/2016,0,0.0,10,1,1795.0330239999998,9.0,40159.10143,15756.305180000001,0,2016,15,39.16,-77.61,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,44.0,M,1.0,49,37855.0,1,1,Own,20111,8/21/2015,1,1.0,39,1,4117.140947999999,6.0,19840.707430000002,25392.340519999998,0,2015,21,38.75,-77.43,4.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,66.0,F,1.0,71,41906.0,1,0,Own,50012,2/18/2015,0,0.0,7,0,3352.695861,3.0,35203.6731,40606.93982,0,2015,18,42.03,-93.65,3.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
127,60.0,M,0.0,85,40934.0,0,1,Own,85027,8/27/2016,1,0.0,7,0,3249.175753,4.0,8299.373302,36181.35706,0,2016,27,33.68,-112.09,5.3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,41.0,F,1.0,66,37140.0,1,1,Rent,20104,2/27/2016,2,0.0,92,1,6627.3228340000005,1.0,6812.920755,47880.84964,1,2016,27,38.92,-77.35,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
130,35.0,M,1.0,81,35546.0,1,0,Own,85036,2/7/2016,0,0.0,46,1,4944.509604999999,8.0,42138.063030000005,20954.897569999997,0,2016,7,33.63,-112.15,5.6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,46.0,M,1.0,93,38302.0,1,1,Rent,80025,3/1/2016,0,0.0,45,1,3855.013775,7.0,23771.01456,38244.06703,0,2016,1,39.94,-105.28,3.4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
133,24.0,M,0.0,90,31788.0,0,0,Rent,80035,10/26/2015,0,0.0,52,1,5479.042762,5.0,31221.26205,18964.09006,0,2015,26,39.88,-105.05,3.6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
135,53.0,F,0.0,86,39701.0,0,0,Own,15037,7/26/2016,0,0.0,71,0,4883.245075,7.0,10970.42287,17263.74357,0,2016,26,40.27,-79.88,5.5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
