claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,fraud,claim_year,claim_day,latitude,longitude,state,claim_day_monday,claim_day_saturday,claim_day_sunday,claim_day_thursday,claim_day_tuesday,claim_day_wednesday,accident_site_local,accident_site_parking_lot,channel_online,channel_phone,vehicle_category_large,vehicle_category_medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_month_august,claim_month_december,claim_month_february,claim_month_january,claim_month_july,claim_month_june,claim_month_march,claim_month_may,claim_month_november,claim_month_october,claim_month_september,Unem_rate
21,51,M,0,75,39322,0,1,Own,85023,6/30/2015,0,0,12,1,6671.129734,5,56012.23143,15393.23312,0,2015,30,33.63,-112.09,AZ,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
25,47,M,1,87,38516,0,0,Rent,15020,8/5/2015,0,0,57,0,6521.146712,4,36074.48477,14712.63063,1,2015,5,40.23,-79.95,PA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2
26,26,M,1,83,32592,1,0,Rent,20135,11/11/2015,0,0,81,1,8782.034073,7,28340.54126,25538.26508,0,2015,11,39.11,-77.83,VA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
29,46,M,0,81,38293,1,1,Rent,20101,2/19/2016,0,0,50,1,4559.869785,3,16442.55536,25421.81041,1,2016,19,38.92,-77.35,VA,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
30,43,F,1,96,37609,0,1,Own,15056,4/23/2016,2,0,71,1,6835.285807,5,14937.5385,20063.32729,1,2016,23,40.56,-80.21,PA,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4
31,39,M,0,91,36639,1,0,Rent,80003,11/3/2015,0,1,57,1,6466.409413,4,20088.60345,26804.02332,0,2015,3,39.83,-105.06,CO,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5
32,40,M,0,76,36876,0,0,Rent,15024,10/25/2015,0,0,28,0,1538.279552,6,26225.83063,21347.75102,0,2015,25,40.54,-79.8,PA,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.2
34,70,M,1,90,42499,1,0,Rent,80101,4/24/2015,0,1,59,0,3411.943245,8,22996.25703,24842.25389,0,2015,24,39.47,-103.95,CO,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
35,24,M,0,80,31796,0,1,Rent,50038,4/14/2016,2,0,34,1,5037.605111,7,9224.079753,54331.0653,1,2016,14,41.53,-93.9,IA,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
36,32,M,1,82,34674,1,1,Rent,85040,3/27/2016,0,1,1,1,9507.865266,2,19493.52905,8507.918045,0,2016,27,33.4,-112.02,AZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5
37,50,M,0,85,39119,1,0,Rent,80110,8/3/2016,0,1,2,1,1644.576186,8,38604.01817,18023.00599,0,2016,3,39.64,-104.99,CO,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.3
38,43.66838975,M,1,60,52988,1,1,Rent,85020,12/26/2015,0,0,85,1,5782.266662,5,21503.30207,21437.33521,0,2015,26,33.57,-112.05,AZ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.7
39,44,M,1,85,37855,1,1,Own,20141,5/31/2015,0,0,27,1,4308.093194,2,12562.74575,22076.24297,0,2015,31,39.13,-77.77,VA,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6
40,37,F,1,65,36117,1,1,Own,15001,8/19/2016,0,0,17,0,5854.332086,6,20679.53061,16762.27489,0,2016,19,40.61,-80.25,PA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5
42,52,F,1,68,39512,1,1,Rent,20111,1/9/2016,0,1,50,0,5801.718463,3,32411.11668,43143.73673,0,2016,9,38.75,-77.43,VA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1
43,56,M,1,67,40259,1,0,Rent,80021,11/4/2015,0,0,79,0,6035.780111,2,23285.86257,51321.03238,0,2015,4,39.89,-105.11,CO,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.5
49,32,M,0,89,34654,1,1,Own,80030,2/13/2015,0,0,0,1,7432.543252,6,23283.72654,18770.23633,0,2015,13,39.83,-105.04,CO,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.2
50,40,F,1,84,36893,1,1,Own,50054,5/12/2015,0,0,31,1,7732.19714,3,10546.61343,13309.89239,0,2015,12,41.67,-93.24,IA,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8
53,52,F,0,84,39496,0,1,Own,80013,4/23/2016,0,0,60,0,5919.395308,8,40471.74613,24617.92855,0,2016,23,39.66,-104.77,CO,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4
54,50,M,1,90,39129,0,0,Own,85028,8/15/2015,5,0,54,1,4491.348462,3,11816.91717,27109.69521,0,2015,15,33.56,-112,AZ,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
56,58,F,1,84,40599,1,0,Own,85064,8/13/2015,0,1,77,1,2513.927533,6,36977.97876,13998.38666,0,2015,13,33.5,-112.03,AZ,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
58,62,M,1,82,41269,1,0,Own,80015,9/25/2016,1,0,78,1,2067.590252,5,29135.11188,7881.247872,0,2016,25,39.63,-104.78,CO,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2
59,47,M,0,69,38508,0,0,Own,20143,9/2/2016,1,0,0,1,4587.728674,5,14550.28805,35403.81217,1,2016,2,38.84,-77.56,VA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.2
61,22,M,0,49,30902,1,0,Rent,80021,4/16/2016,1,0,68,1,7982.336027,5,14373.21383,9739.231253,1,2016,16,39.89,-105.11,CO,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
63,47,M,1,79,38483,0,0,Rent,50036,4/20/2016,0,0,62,0,5935.970546,3,16908.14613,18564.19126,1,2016,20,42.05,-93.87,IA,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
64,26,M,0,93,32591,1,1,Rent,50047,2/9/2016,0,1,67,1,7661.866723,7,14372.27717,39002.8018,1,2016,9,41.51,-93.48,IA,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.6
66,38,M,0,63,36387,1,1,Own,15053,4/7/2016,0,0,83,1,1875.688845,3,31261.40239,12837.76488,1,2016,7,40.38,-80.36,PA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
67,63,M,1,93,41428,1,1,Own,85067,8/2/2015,0,0,84,1,3992.977667,4,7458.089109,12713.39417,0,2015,2,33.5,-112.08,AZ,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
68,35,M,1,63,35551,1,0,Rent,50047,11/13/2015,3,0,97,1,5242.562288,4,40839.12416,20542.75429,0,2015,13,41.51,-93.48,IA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7
69,41,F,1,81,37119,1,1,Own,85031,9/10/2016,0,0,98,0,11074.49993,5,41916.15961,60022.57867,0,2016,10,33.49,-112.16,AZ,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.2
71,30,M,1,72,34025,0,1,Rent,50047,7/11/2015,0,0,49,0,5900.507621,10,25069.80315,6791.073297,1,2015,11,41.51,-93.48,IA,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7
73,50,F,1,90,39117,1,1,Rent,85079,12/7/2016,1,0,0,0,5869.3417,4,24211.61531,28250.69734,0,2016,7,33.5,-112.11,AZ,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.2
74,35,F,0,86,35561,1,1,Own,20132,3/24/2016,0,1,64,1,4391.006072,2,16064.60673,6696.948989,0,2016,24,39.13,-77.71,VA,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
76,42,F,1,37,37368,1,1,Own,15009,4/24/2015,0,0,97,1,2286.855815,9,38782.52542,17732.65318,0,2015,24,40.69,-80.3,PA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
77,69,F,1,68,42336,1,1,Rent,80024,9/12/2016,1,1,37,1,2555.179947,1,21442.80756,25705.84281,0,2016,12,39.84,-104.92,CO,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2
78,28,M,0,85,33327,0,1,Own,15021,8/7/2015,0,0,36,1,1965.753081,10,24573.68055,13930.50033,0,2015,7,40.38,-80.39,PA,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2
80,30,F,1,79,33993,0,1,Rent,20165,8/12/2016,0,0,1,1,2220.849033,5,25063.75455,26149.48866,0,2016,12,39.06,-77.39,VA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.2
81,69,M,0,70,42352,0,0,Rent,15060,1/1/2016,0,0,99,0,1912.52224,9,26679.72093,5636.813285,0,2016,1,40.37,-80.29,PA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.3
83,41,M,0,33,37140,1,1,Own,15018,8/4/2016,5,0,5,1,5233.961701,2,27440.88412,26447.08966,0,2016,4,40.27,-79.8,PA,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.5
85,24,F,1,80,31767,1,1,Rent,80010,12/18/2016,2,0,66,1,4703.710172,6,33478.12617,3021.407359,1,2016,18,39.74,-104.86,CO,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.9
89,72,F,1,82,42785,0,1,Rent,85029,1/27/2016,0,1,42,1,8682.020796,3,20033.74414,27290.01654,0,2016,27,33.59,-112.1,AZ,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.7
90,48,M,1,53,38712,0,1,Rent,20165,2/1/2015,0,0,83,1,2711.993143,6,26247.03449,24320.41749,0,2015,1,39.06,-77.39,VA,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.8
91,31,M,0,78,34326,1,1,Own,50021,12/26/2015,0,0,76,1,1986.437038,5,39131.15578,44658.08904,0,2015,26,41.72,-93.6,IA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7
92,31,M,1,83,34347,1,0,Own,15010,3/31/2015,0,0,11,0,7431.434426,4,13544.558,36667.84401,0,2015,31,40.76,-80.32,PA,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4
93,48,M,1,51,38701,1,1,Rent,15010,2/14/2016,0,0,83,0,7283.061425,3,10125.75246,30684.7314,0,2016,14,40.76,-80.32,PA,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.3
94,39,M,1,54,36644,1,1,Own,85074,2/2/2015,0,0,40,1,4165.679595,5,10621.07306,23843.99708,0,2015,2,33.45,-112.09,AZ,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3
95,78,M,1,61,43577,1,1,Rent,15010,10/8/2016,0,0,25,1,3908.300991,6,28643.04973,31554.73932,1,2016,8,40.76,-80.32,PA,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.5
96,38,M,1,76,36374,1,0,Own,80020,8/23/2015,4,1,40,1,3594.521866,3,25162.9564,34363.3759,0,2015,23,39.94,-105.06,CO,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7
98,58,F,1,56,40616,1,1,Rent,85028,1/6/2015,0,1,99,0,1346.603764,3,10154.58531,24013.54195,1,2015,6,33.56,-112,AZ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4
99,59,F,1,79,40777,1,1,Rent,50007,5/14/2015,2,1,93,1,8969.794924,7,32607.40347,20880.75179,0,2015,14,41.81,-93.61,IA,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8
100,33,F,1,31,34958,1,0,Rent,20130,3/30/2015,3,0,48,1,9148.765275,3,13118.67565,15129.07488,0,2015,30,39,-77.95,VA,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8
102,31,M,0,78,34341,1,0,Own,80106,5/12/2016,0,0,93,0,3244.330615,6,20936.84243,24656.22334,0,2016,12,39.22,-104.53,CO,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4
104,31,F,0,94,34327,0,0,Rent,85038,10/2/2015,2,0,2,1,1899.797609,5,21262.31249,31277.05033,0,2015,2,33.46,-111.98,AZ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.8
108,71,F,1,65,42609,0,0,Own,85054,1/8/2015,0,0,77,0,6133.930266,7,10728.60969,10901.52408,0,2015,8,33.67,-111.95,AZ,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4
109,22,F,1,83,30897,1,1,Own,50049,1/16/2016,0,0,0,1,5801.370911,10,21554.60851,10803.11824,0,2016,16,41.01,-93.3,IA,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6
110,66,F,0,87,41890,1,0,Own,85060,3/2/2015,0,1,0,1,2687.473644,5,13536.82481,17400.79619,0,2015,2,33.5,-111.98,AZ,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.3
111,43.66838975,M,1,60,48905,1,1,Own,15014,8/26/2015,0,0,22,1,5922.919482,7,7626.946942,24659.77971,0,2015,26,40.61,-79.74,PA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2
114,41,M,1,81,37141,0,1,Own,50035,12/18/2016,0,0,4,1,3844.360693,2,16156.21872,6556.531901,0,2016,18,41.68,-93.46,IA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.5
115,32,M,1,97,34675,1,1,Own,50047,1/26/2016,0,1,69,1,2474.503079,5,16313.57841,15686.61188,0,2016,26,41.51,-93.48,IA,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6
116,55,M,1,81,40081,1,1,Rent,15003,2/27/2016,1,1,7,1,2022.314343,4,13147.36133,20520.1333,0,2016,27,40.59,-80.22,PA,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.3
119,33,F,1,76,34958,1,0,Rent,85072,12/18/2016,0,0,61,0,5364.163592,4,13479.44598,14084.99804,0,2016,18,33.45,-112.01,AZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.2
120,55,M,1,81,40069,1,1,Rent,20129,7/15/2016,0,0,10,1,1795.033024,9,40159.10143,15756.30518,0,2016,15,39.16,-77.61,VA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.1
121,44,M,1,49,37855,1,1,Own,20111,8/21/2015,1,1,39,1,4117.140948,6,19840.70743,25392.34052,0,2015,21,38.75,-77.43,VA,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3
126,66,F,1,71,41906,1,0,Own,50012,2/18/2015,0,0,7,0,3352.695861,3,35203.6731,40606.93982,0,2015,18,42.03,-93.65,IA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9
127,60,M,0,85,40934,0,1,Own,85027,8/27/2016,1,0,7,0,3249.175753,4,8299.373302,36181.35706,0,2016,27,33.68,-112.09,AZ,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3
129,41,F,1,66,37140,1,1,Rent,20104,2/27/2016,2,0,92,1,6627.322834,1,6812.920755,47880.84964,1,2016,27,38.92,-77.35,VA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
130,35,M,1,81,35546,1,0,Own,85036,2/7/2016,0,0,46,1,4944.509605,8,42138.06303,20954.89757,0,2016,7,33.63,-112.15,AZ,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6
131,46,M,1,93,38302,1,1,Rent,80025,3/1/2016,0,0,45,1,3855.013775,7,23771.01456,38244.06703,0,2016,1,39.94,-105.28,CO,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.4
133,24,M,0,90,31788,0,0,Rent,80035,10/26/2015,0,0,52,1,5479.042762,5,31221.26205,18964.09006,0,2015,26,39.88,-105.05,CO,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6
135,53,F,0,86,39701,0,0,Own,15037,7/26/2016,0,0,71,0,4883.245075,7,10970.42287,17263.74357,0,2016,26,40.27,-79.88,PA,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.5
143,50,F,1,66,39150,1,0,Rent,50043,2/22/2015,0,1,49,0,6117.432577,2,43600.52774,39154.52864,0,2015,22,42.41,-93.37,IA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9
145,29,F,0,77,33660,1,1,Rent,80002,4/5/2015,0,0,96,1,4027.338224,3,7590.862761,21365.8913,0,2015,5,39.79,-105.11,CO,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
146,45,F,0,77,38071,0,1,Rent,80022,4/20/2015,0,0,7,0,4728.121428,2,21466.03576,41332.13128,1,2015,20,39.88,-104.8,CO,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
147,33,M,1,77,34949,1,1,Own,50046,8/12/2015,2,0,5,0,2920.737089,12,10421.51335,3242.111556,0,2015,12,41.89,-93.53,IA,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7
148,27,M,1,48,32969,1,1,Rent,85022,2/29/2016,0,0,2,0,3240.955927,8,22242.58954,24824.96997,0,2016,29,33.62,-112.05,AZ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6
149,26,F,1,89,32578,1,1,Rent,85062,9/16/2016,0,1,88,0,5786.168171,6,94243.50725,31928.54157,0,2016,16,33.46,-111.98,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2
150,26,F,1,66,32582,1,0,Rent,15006,3/31/2015,2,0,68,1,4881.822384,9,14312.61926,7465.359193,0,2015,31,40.63,-79.88,PA,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4
151,34,F,1,70,35278,1,1,Own,85034,2/15/2015,0,0,11,1,10369.54802,8,27596.56284,27418.23032,0,2015,15,33.43,-112.01,AZ,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3
155,57,F,1,93,40426,1,1,Own,50035,7/23/2015,1,0,22,0,4440.305755,7,19893.24245,26262.49476,0,2015,23,41.68,-93.46,IA,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7
157,26,M,0,83,32590,1,0,Rent,50025,3/21/2016,0,0,93,1,5146.824903,3,16283.46133,21324.44781,0,2016,21,41.71,-94.92,IA,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6
